File,Avg_Battery_Impedance,Max_Battery_Impedance,Avg_Rectified_Impedance,Avg_Current_Ratio,Avg_Sense_Current,Avg_Battery_Current,Cycle
00002.csv,0.21392855186944962,0.3848591548411698,0.08412144978741305,2.8703107953488463,856.0633552110118,308.67338810196594,1
00004.csv,0.21708245270768237,0.35229923793637197,0.08442714760132271,2.8451921594614684,855.4382227161726,309.0316800897638,2
00014.csv,0.22201329022419994,0.3950287398549942,0.08936893210536606,2.9309028531343313,860.8508927845069,303.5132220658677,3
00016.csv,0.2211053359612666,0.36122766602513945,0.08867871432472037,2.8956445526093524,859.0965999972931,304.80108017417155,4
00018.csv,0.2190141811173265,0.3914813745408368,0.08730543272703688,2.9071614807184076,859.1359268485459,305.4986490251575,5
00020.csv,0.2207926875510077,0.3580021789113,0.086573426341427,2.875574546382437,857.4228551103433,306.38868391814316,6
00030.csv,0.21784753442467017,0.37494519118344505,0.08792527702031586,2.9016907077431298,859.0206868838691,305.2189793664433,7
00032.csv,0.22146624928106662,0.35953385482300265,0.08872497088971636,2.8946203405541127,859.1453086955559,304.83897549547675,8
00034.csv,0.22208048577832984,0.3943814499414313,0.09043088837424938,2.944280148289751,861.910223962188,302.2463066821468,9
00036.csv,0.2265112781128559,0.3738498886275045,0.09378992059228196,2.955963439884312,863.7357451897597,299.9979967632461,10
00046.csv,0.22586652041700464,0.39422799573914336,0.09353365653856552,2.973807788487124,864.2117159814558,299.6459925910911,11
00048.csv,0.22835499700806916,0.3695764344248436,0.0949639086397025,2.965265575381794,864.3645997264344,299.34772133285765,12
00058.csv,0.23224839987830878,0.3969283919523869,0.09815195475029483,3.0249161845560883,867.8422870339106,295.6551017839834,13
00060.csv,0.2315076018814688,0.3734815869057366,0.09790774493811351,2.998951935472935,866.8883471525536,296.5213594792465,14
00070.csv,0.23909427124258223,0.40791147329262395,0.10228373453818951,3.0763435390315657,871.446247560882,292.1551186154591,15
00072.csv,0.23624814685293774,0.38516750481869627,0.10204790991980581,3.0513428358789283,870.5424309188951,292.92749330354474,16
00082.csv,0.24462086007390327,0.41396344485973624,0.10565772797223069,3.1101929132962867,873.8337264234478,289.53941957126455,17
00084.csv,0.2408902505798599,0.3906192460132404,0.10539468453816404,3.090805462267923,873.6423692667787,290.0878032393655,18
00086.csv,0.23559037184364018,0.40965987097670054,0.09892693294089396,3.0412672208886975,868.7031197181744,294.67589920214454,19
00088.csv,0.2378773762102595,0.3855326753611594,0.1028216157063354,3.065986432244699,871.3724924747625,291.8326187517875,20
00098.csv,0.2378448459269015,0.40562092908247743,0.10192951037563058,3.071624094570449,871.1244197130169,292.33438729487284,21
00100.csv,0.24290845025762,0.3968493301157026,0.10659222193237707,3.11103971631518,874.711087826989,288.6657855536192,22
00110.csv,0.24714213307277344,0.41894485233398115,0.10730475549514396,3.1322237975101057,875.2536232740853,288.20749115927464,23
00112.csv,0.24615588538096497,0.4006620975729154,0.10939695528368518,3.1432074770301255,876.6283751784122,286.3936009909396,24
00122.csv,0.24657251442439265,0.41190056490706345,0.10843573571922338,3.1380778754326015,876.0063773668113,287.6562870024191,25
00124.csv,0.24646793272277048,0.3975154484927228,0.10969601157814,3.141396295937954,876.5497977015417,286.4615704332685,26
00134.csv,0.24928711162497183,0.4183467857815852,0.10876676381889802,3.144316565210557,876.4120309848014,287.2937763557547,27
00136.csv,0.24738531849109924,0.40272030573416423,0.11035948938209177,3.147424253843806,877.0455089041974,286.11534622745467,28
00138.csv,0.2445466407993416,0.4165049974856419,0.10577048991820516,3.120638639755098,874.4783879401567,288.703824691879,29
00140.csv,0.2451690993378706,0.4009952986561964,0.1081723543247312,3.128107781016611,875.80250862198,287.311256098126,30
00150.csv,0.25238055341911125,0.4244631333548057,0.11102971803697499,3.177594828341841,878.5794702087072,284.82265556613237,31
00152.csv,0.24982936189675412,0.4062874624518258,0.1118278727202773,3.172492671326841,878.6007813243806,284.1413193457759,32
00154.csv,0.2500686837034585,0.4258256954285304,0.1087982092517603,3.1548918040473395,876.9295818239638,286.38767688330074,33
00156.csv,0.25029115813057073,0.40341550136562065,0.11223820685205754,3.17358999071026,878.3790950519739,283.8642103983393,34
00166.csv,0.25429496083660325,0.4135807196887337,0.11425872267707622,3.205680991716361,880.7109342766829,282.0194790972064,35
00168.csv,0.2518870697071394,0.4112726778034656,0.11333557899360559,3.190446406934342,879.9026588265779,282.99078387387107,36
00170.csv,0.246842581165967,0.42176535646877483,0.1067537964104882,3.131669167800299,875.3252020399686,287.97948884652266,37
00172.csv,0.25042237227612213,0.4096879633360889,0.11221612350440247,3.1831752940738567,879.5374903138762,283.670179913544,38
00182.csv,0.2517829873357192,0.42748067414803714,0.1097849771378467,3.1663886911814507,877.7455440532052,285.51028549575125,39
00184.csv,0.25260476727402686,0.4048265816401226,0.1141670925916969,3.196823523813056,880.5342048104927,282.56276134812464,40
