File,AvgVoltage,MinVoltage,AvgCurrent,MaxTemp,DischargeCapacity_Ah,Cycle,RUL
00001.csv,3.4752664759657903,2.470611866932728,-0.9527668403077523,12.376815880696888,1.7059871630015877,1,17
00005.csv,3.4765588189090355,2.477661652422805,-0.9838885014038209,11.314903320182369,1.5485911041185842,2,16
00007.csv,3.4707669643372343,2.4707098734854784,-0.9838892612061609,11.624528187721143,1.532369181752867,3,15
00009.csv,3.4675514337042928,2.465457800547402,-0.9789465319710104,11.0929238810592,1.5116906665421097,4,14
00011.csv,3.4628386272032645,2.465765118194009,-0.9762620303137102,11.020979145558456,1.4953066851911692,5,13
00013.csv,3.4591836330966035,2.4700482803033514,-0.9711681299821951,11.05909419348262,1.4771002303827787,6,12
00017.csv,3.440865649757287,2.484128874181115,-0.9709334670284248,11.877028657628198,1.474123833031268,7,11
00021.csv,3.44810227661685,2.483034750266961,-0.9610547420763002,11.559250858608888,1.4631991770671091,8,10
00023.csv,3.4496654644975946,2.49830336362436,-0.9582923588349711,11.34743713793976,1.44385228696324,9,9
00025.csv,3.4449123724079618,2.49851157426792,-0.9553719838321842,11.693269060729056,1.4283792959179062,10,8
00027.csv,3.4418308643708455,2.4919375577484737,-0.9527836491780217,11.557441727679937,1.4131854577972787,11,7
00029.csv,3.4344681780842876,2.4683068422721184,-0.949814677088373,11.667407771157473,1.40130106361853,12,6
00033.csv,3.430115214310407,2.479195639185483,-0.962374774611937,11.311016339650983,1.4384787332333233,13,5
00037.csv,3.442078085056046,2.4933737831605582,-0.9528782892582865,11.175603921563273,1.4344420203957722,14,4
00039.csv,3.4424678812268277,2.491571322470993,-0.9497638833815831,11.15023736338702,1.4154667448300309,15,3
00041.csv,3.4338551425476287,2.471859124111365,-0.9517106306260905,11.81131136026599,1.3992041570166345,16,2
00043.csv,3.4327517306039357,2.488914813470205,-0.9434304652541514,11.699803023226297,1.3785103590925816,17,1
00045.csv,3.4273855541261473,2.472852533936716,-0.9400482502771171,11.234017863419322,1.3617674635465986,18,0
00049.csv,3.4184685184601045,2.4822189935935484,-0.9371553622323052,11.729632241368254,1.3478769668806092,19,-1
00051.csv,3.6507246573834036,3.452630071948054,-0.9839651386620409,8.565277404002732,0.6565463742727051,20,-2
00053.csv,3.4156755122328164,2.481264290061195,-0.9234823229846594,12.186162994585318,1.3722301855053822,21,-3
00055.csv,3.4189443106786306,2.487540187711501,-0.930472095057463,11.147409475641334,1.3216744191775471,22,-4
00057.csv,3.4147835574863517,2.4907582384317,-0.9322821459755778,11.681014963080823,1.3108456766586727,23,-5
00061.csv,3.409591730169167,2.493163832069928,-0.9267897523084677,11.29683746494969,1.2969668673798496,24,-6
00063.csv,3.407645240350967,2.479240941037315,-0.9316504925123936,11.88239860330653,1.2952616834559258,25,-7
00065.csv,3.407201115194828,2.4915265338912347,-0.9255669375549472,11.79170575767619,1.2785415208131443,26,-8
00067.csv,3.402851724115477,2.495727313119633,-0.9273633082574366,11.72661603963688,1.267094221212304,27,-9
