AvgVoltage_x,MinVoltage,AvgCurrent_x,MaxTemp_x,DischargeCapacity_Ah,Cycle,RUL,AvgVoltage_y,AvgCurrent_y,MaxTemp_y,CycleCapacity_Ah,Avg_Battery_Impedance,Max_Battery_Impedance,Avg_Rectified_Impedance,Avg_Current_Ratio,Avg_Sense_Current,Avg_Battery_Current,Current_fixed,R0,R1,C1,tau,ECM_RUL,Residual
4.179799607333447,4.179799607333447,-0.0023663271409738,24.277567510331888,2.035337591005598,1,60,4.179799607333447,0.0023663271409738,24.277567510331888,2.035337591005598,0.1739233240057316,0.1739233240057316,0.0,0.0,0.0,0.0,0.01,0.34339140370748267,0.34339140370748267,2.2553436797338704,0.774465632026613,51.0,9.0
4.177288238505559,4.177288238505559,-0.0033319109110022,24.64861061815996,2.025140246031412,2,59,4.177288238505559,0.0033319109110022,24.64861061815996,2.025140246031412,0.1191485468046735,0.1191485468046735,0.0,0.0,0.0,0.0,0.01,0.30464070979629276,0.3240160567518877,2.3584012540948383,0.7641598745905163,50.15,8.850000000000001
4.177795470598289,4.177795470598289,-0.0013875878795131,24.704057719023776,2.013326371345464,3,58,4.177795470598289,0.0013875878795131,24.704057719023776,2.013326371345464,0.1753434582638184,0.1753434582638184,0.0,0.0,0.0,0.0,0.01,0.3124673561052833,0.32016648986968627,2.380008934815691,0.7619991065184308,49.3,8.700000000000003
4.178370492084649,4.178370492084649,-0.0020035257756967,24.65050310045608,2.0132846655407413,4,57,4.178370492084649,0.0020035257756967,24.65050310045608,2.0132846655407413,0.1553838279959087,0.1553838279959087,0.0,0.0,0.0,0.0,0.01,0.32134000012429437,0.32045986743333826,2.3783482740086836,0.7621651725991316,48.449999999999996,8.550000000000004
4.178015652407259,4.178015652407259,-0.0011423311186216,24.634206199911688,2.000528337624771,5,56,4.178015652407259,0.0011423311186216,24.634206199911688,2.000528337624771,0.1783357550298567,0.1783357550298567,0.0,0.0,0.0,0.0,0.01,0.3158647853436611,0.31954085101540286,2.383558114971947,0.7616441885028054,47.6,8.399999999999999
4.193216523251186,4.193216523251186,-0.0043106603020275,24.34339960435996,2.0138990759931645,6,55,4.193216523251186,0.0043106603020275,24.34339960435996,2.0138990759931645,0.1495328004696905,0.1495328004696905,0.0,0.0,0.0,0.0,0.01,0.5504158742619495,0.3609457451262962,2.16945271883572,0.7830547281164281,46.75,8.25
4.193679289189224,4.193679289189224,-0.005384401441868,24.43094638944468,2.013101105626967,7,54,4.193679289189224,0.005384401441868,24.43094638944468,2.013101105626967,0.1783218737827537,0.1783218737827537,0.0,0.0,0.0,0.0,0.01,0.5575564029721558,0.41152888376146884,1.954923821010096,0.8045076178989904,45.9,8.100000000000001
4.176826628115461,4.176826628115461,-0.0019468549925469,24.65043547143169,1.96878982627284,8,53,4.176826628115461,0.0019468549925469,24.65043547143169,1.96878982627284,0.1863217439341871,0.1863217439341871,0.0,0.0,0.0,0.0,0.01,0.29751801131637334,0.4085390148036868,1.9664174643238213,0.8033582535676179,45.05,7.950000000000003
4.1761685240208415,4.1761685240208415,-0.0009662247647393,24.564976908542672,1.9681661764334244,9,52,4.1761685240208415,0.0009662247647393,24.564976908542672,1.9681661764334244,0.1823099471768402,0.1823099471768402,0.0,0.0,0.0,0.0,0.01,0.28736339362377694,0.40174369350358335,1.9930494651904542,0.8006950534809546,44.199999999999996,7.800000000000004
4.176897989902666,4.176897989902666,-0.006045520057293,24.5254342466806,1.9572307917560536,10,51,4.176897989902666,0.006045520057293,24.5254342466806,1.9572307917560536,0.1545840734403928,0.1545840734403928,0.0,0.0,0.0,0.0,0.01,0.29861913144744423,0.39829456272433994,2.006845096869353,0.7993154903130647,43.35,7.649999999999999
