File_x,AvgVoltage_x,MinVoltage,AvgCurrent_x,MaxTemp_x,DischargeCapacity_Ah,Cycle,RUL,File_y,AvgVoltage_y,AvgCurrent_y,MaxTemp_y,CycleCapacity_Ah,File,Avg_Battery_Impedance,Max_Battery_Impedance,Avg_Rectified_Impedance,Avg_Current_Ratio,Avg_Sense_Current,Avg_Battery_Current,SOH
00001.csv,3.4752664759657903,2.470611866932728,-0.9527668403077524,12.376815880696888,1.7059871630015877,1,17,00003.csv,4.193520837869666,0.5207924895446029,8.793624097800858,1.540612210553491e-09,00002.csv,0.2139285518694496,0.3848591548411698,0.084121449787413,2.8703107953488463,856.0633552110118,308.67338810196594,1.0
00005.csv,3.4765588189090355,2.477661652422805,-0.9838885014038208,11.314903320182369,1.5485911041185842,2,16,00006.csv,4.187504197003788,0.5186862418251199,10.1455937779198,1.536849225300808e-09,00004.csv,0.2170824527076823,0.3522992379363719,0.0844271476013227,2.8451921594614684,855.4382227161726,309.0316800897638,0.9077390133428237
00007.csv,3.4707669643372343,2.4707098734854784,-0.9838892612061608,11.624528187721143,1.532369181752867,3,15,00008.csv,4.189655069774906,0.5135277214530581,9.371285850326036,1.5204824829127763e-09,00014.csv,0.2220132902241999,0.3950287398549942,0.089368932105366,2.9309028531343317,860.8508927845069,303.5132220658677,0.8982301948021405
00009.csv,3.4675514337042928,2.465457800547402,-0.9789465319710104,11.0929238810592,1.5116906665421097,4,14,00010.csv,4.191917514720392,0.5073739203979963,9.599392228576075,1.5026780449581723e-09,00016.csv,0.2211053359612666,0.3612276660251394,0.0886787143247203,2.8956445526093524,859.0965999972931,304.80108017417155,0.8861090513028104
00011.csv,3.4628386272032645,2.465765118194009,-0.9762620303137102,11.020979145558456,1.4953066851911692,5,13,00012.csv,4.193113417930489,0.5012755481230531,9.977435052651424,1.485819701183073e-09,00018.csv,0.2190141811173265,0.3914813745408368,0.0873054327270368,2.907161480718408,859.1359268485459,305.4986490251575,0.8765052385038242
00013.csv,3.4591836330966035,2.4700482803033514,-0.9711681299821951,11.05909419348262,1.4771002303827787,6,12,00015.csv,4.199479900529841,0.4945772130097396,8.878068239463989,1.4663447436366526e-09,00020.csv,0.2207926875510077,0.3580021789113,0.086573426341427,2.875574546382437,857.4228551103433,306.3886839181432,0.8658331448308817
00017.csv,3.440865649757287,2.484128874181115,-0.9709334670284248,11.877028657628198,1.474123833031268,7,11,00019.csv,4.196299797709012,0.494706079124223,8.54999351511764,1.4723818702585054e-09,00030.csv,0.2178475344246701,0.374945191183445,0.0879252770203158,2.9016907077431298,859.0206868838691,305.2189793664433,0.8640884673701945
00021.csv,3.44810227661685,2.483034750266961,-0.9610547420763002,11.559250858608888,1.4631991770671091,8,10,00022.csv,4.194434606990872,0.4918073887438026,9.9149863999085,1.4576149131759366e-09,00032.csv,0.2214662492810666,0.3595338548230026,0.0887249708897163,2.8946203405541127,859.1453086955559,304.83897549547675,0.8576847521482478
00023.csv,3.4496654644975946,2.49830336362436,-0.9582923588349712,11.34743713793976,1.44385228696324,9,9,00024.csv,4.195194011746863,0.4844742944222571,8.87729954678877,1.4358901184615107e-09,00034.csv,0.2220804857783298,0.3943814499414313,0.0904308883742493,2.944280148289751,861.910223962188,302.2463066821468,0.8463441685123021
00025.csv,3.4449123724079618,2.49851157426792,-0.9553719838321842,11.693269060729056,1.4283792959179062,10,8,00026.csv,4.196636862370744,0.4792323425448145,9.792328297818012,1.4204209517764775e-09,00036.csv,0.2265112781128559,0.3738498886275045,0.0937899205922819,2.955963439884312,863.7357451897597,299.9979967632461,0.8372743517042378
00027.csv,3.441830864370845,2.4919375577484737,-0.9527836491780216,11.557441727679937,1.4131854577972789,11,7,00028.csv,4.198462571285532,0.4733439927815017,8.793395853031353,1.405717900460752e-09,00046.csv,0.2258665204170046,0.3942279957391433,0.0935336565385655,2.973807788487124,864.2117159814558,299.6459925910911,0.8283681662122587
00029.csv,3.434468178084288,2.4683068422721184,-0.949814677088373,11.667407771157473,1.40130106361853,12,6,00031.csv,4.201236264948579,0.4666393276247713,8.489081034047558,1.388091920149549e-09,00048.csv,0.2283549970080691,0.3695764344248436,0.0949639086397025,2.965265575381794,864.3645997264344,299.34772133285765,0.8214018803945864
00033.csv,3.430115214310407,2.479195639185483,-0.962374774611937,11.311016339650983,1.438478733233323,13,5,00035.csv,4.200947231159852,0.4879871428002954,8.875067965433193,1.4492578758109244e-09,00058.csv,0.2322483998783087,0.3969283919523869,0.0981519547502948,3.0249161845560883,867.8422870339106,295.6551017839834,0.8431943477830169
00037.csv,3.442078085056046,2.4933737831605582,-0.9528782892582864,11.175603921563273,1.4344420203957722,14,4,00038.csv,4.197851110146361,0.4803492490133361,9.0113162300133,1.4273380239940081e-09,00060.csv,0.2315076018814688,0.3734815869057366,0.0979077449381135,2.998951935472935,866.8883471525536,296.5213594792465,0.8408281442586899
00039.csv,3.442467881226828,2.491571322470993,-0.9497638833815832,11.15023736338702,1.4154667448300309,15,3,00040.csv,4.198680988504506,0.4725750834617734,9.117837502841068,1.4052491685636767e-09,00070.csv,0.2390942712425822,0.4079114732926239,0.1022837345381895,3.0763435390315657,871.446247560882,292.1551186154591,0.829705390244319
00041.csv,3.4338551425476287,2.471859124111365,-0.9517106306260904,11.81131136026599,1.3992041570166345,16,2,00042.csv,4.199128153383965,0.4680286080585239,9.008870688771184,1.3903621526431144e-09,00072.csv,0.2362481468529377,0.3851675048186962,0.1020479099198058,3.0513428358789283,870.5424309188951,292.92749330354474,0.820172734802303
00043.csv,3.432751730603936,2.488914813470205,-0.9434304652541514,11.699803023226297,1.3785103590925816,17,1,00044.csv,4.199490357046566,0.4605810915035159,8.775487596967912,1.3699288039367803e-09,00082.csv,0.2446208600739032,0.4139634448597362,0.1056577279722306,3.1101929132962867,873.8337264234478,289.53941957126455,0.8080426330214412
00045.csv,3.4273855541261478,2.472852533936716,-0.9400482502771172,11.234017863419322,1.3617674635465986,18,0,00047.csv,4.204909593983731,0.4535761631204663,8.527927995096366,1.3491442157558607e-09,00084.csv,0.2408902505798599,0.3906192460132404,0.105394684538164,3.090805462267923,873.6423692667787,290.0878032393655,0.7982284351721884
00049.csv,3.4184685184601045,2.4822189935935484,-0.9371553622323052,11.729632241368254,1.3478769668806092,19,0,00050.csv,4.200687492197155,0.4526769344869139,9.25658691248093,1.3451243861702072e-09,00086.csv,0.2355903718436401,0.4096598709767005,0.0989269329408939,3.041267220888697,868.7031197181744,294.67589920214454,0.7900862304902084
00051.csv,3.650724657383404,3.452630071948054,-0.9839651386620408,8.565277404002732,0.6565463742727051,20,0,00052.csv,4.20790150879879,0.2360567145674879,8.229513715800891,7.013637087775648e-10,00088.csv,0.2378773762102595,0.3855326753611594,0.1028216157063354,3.065986432244699,871.3724924747625,291.8326187517875,0.3848483672746687
00053.csv,3.4156755122328164,2.481264290061195,-0.9234823229846594,12.186162994585318,1.3722301855053822,21,0,00054.csv,4.201675684962224,0.4448613754713746,8.682117686665979,1.3230235634705707e-09,00098.csv,0.2378448459269015,0.4056209290824774,0.1019295103756305,3.071624094570449,871.1244197130169,292.33438729487284,0.8043613781307832
00055.csv,3.4189443106786306,2.487540187711501,-0.930472095057463,11.147409475641334,1.3216744191775471,22,0,00056.csv,4.201116653934024,0.4412040962296821,8.807432989820063,1.3136307008472614e-09,00100.csv,0.24290845025762,0.3968493301157026,0.106592221932377,3.11103971631518,874.711087826989,288.6657855536192,0.7747270599927235
00057.csv,3.414783557486352,2.4907582384317,-0.9322821459755778,11.681014963080823,1.310845676658673,23,0,00059.csv,4.205978517025572,0.434990885455992,8.672791913113644,1.2988401060553695e-09,00110.csv,0.2471421330727734,0.4189448523339811,0.1073047554951439,3.1322237975101057,875.2536232740853,288.20749115927464,0.7683795664395939
00061.csv,3.409591730169167,2.493163832069928,-0.9267897523084676,11.29683746494969,1.2969668673798496,24,0,00062.csv,4.202742782656665,0.4349089878885845,8.749810595907697,1.2958684826935923e-09,00112.csv,0.2461558853809649,0.4006620975729154,0.1093969552836851,3.143207477030125,876.6283751784122,286.3936009909396,0.7602442125636573
00063.csv,3.407645240350967,2.479240941037315,-0.9316504925123936,11.88239860330653,1.2952616834559258,25,0,00064.csv,4.201912739780461,0.4329879804698601,8.66228512118762,1.2875487019965455e-09,00122.csv,0.2465725144243926,0.4119005649070634,0.1084357357192233,3.138077875432601,876.0063773668113,287.6562870024191,0.759244683399016
00065.csv,3.407201115194828,2.4915265338912347,-0.9255669375549472,11.79170575767619,1.2785415208131443,26,0,00066.csv,4.202580692565229,0.4269148375399342,9.019728113451215,1.2719009335248363e-09,00124.csv,0.2464679327227704,0.3975154484927228,0.10969601157814,3.141396295937954,876.5497977015417,286.4615704332685,0.749443810915683
00067.csv,3.402851724115477,2.495727313119633,-0.9273633082574366,11.72661603963688,1.267094221212304,27,0,00068.csv,4.203217812606892,0.4228666013470354,9.116016163768313,1.2601737374810774e-09,00134.csv,0.2492871116249718,0.4183467857815852,0.108766763818898,3.144316565210557,876.4120309848014,287.2937763557547,0.7427337372122563
00069.csv,3.398740761774466,2.497974212051376,-0.9267828902753352,12.464631760563272,1.2614490983031843,28,0,00071.csv,4.206994473886876,0.4184424376066384,8.576939986227508,1.249854396815551e-09,00136.csv,0.2473853184910992,0.4027203057341642,0.1103594893820917,3.147424253843806,877.0455089041974,286.11534622745467,0.7394247305376765
00073.csv,3.3945066004903923,2.495109477398993,-0.9236824517720292,11.863547747838409,1.2513786053625091,29,0,00074.csv,4.204168206769557,0.4202240581724371,9.125952057926662,1.251588033737801e-09,00138.csv,0.2445466407993416,0.4165049974856419,0.1057704899182051,3.120638639755098,874.4783879401567,288.703824691879,0.7335217008085685
00075.csv,3.39192930556013,2.4851956352139384,-0.9289085100178416,12.460832791038596,1.2508641422769138,30,0,00076.csv,4.204667229142807,0.4175325417433043,8.913521508673037,1.2434125944934042e-09,00140.csv,0.2451690993378706,0.4009952986561964,0.1081723543247312,3.128107781016611,875.80250862198,287.311256098126,0.7332201375279338
